247
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3
1,0.868505,0.63346112,0.36138228,-0.35072422,0.25750101,0.8246749,0.21771075,0.37636951,5.9290547,9.2846832,8.0637932,5.8814859,15.730198,10.185643,45.284653,14.444891,2.0685072,1.0555022,3.6093719,0,101,13,0.45845479,1,1,1578.125,1578.125,1578.125
2,0.21398096,0.20629995,0.6282146,-0.65507722,-0.12607554,0.40040633,0.020167837,1.0858315,6.2358727,27.479824,5.8801594,5.669086,62.21698,33.136791,49.504719,14.679427,2.6403067,2.2751737,4.2529621,0,106,17,0.014983231,1,1,1656.25,1656.25,1656.25
3,0.82137489,0.64129865,-0.69195962,-0.045685377,-0.63532048,0.33981261,3.3093464,1.0447183,0.91504508,10.858854,8.9191904,6.9637685,13.587663,59.13961,19.025974,16.625731,6.2577229,1.7149011,1.280372,0,154,15,0.44822082,1,0,2406.25,2406.25,2406.25
4,0.97131884,0.11536451,0.59473038,0.27481127,-0.68271005,0.32354522,1.3896875,3.1323216,3.0037389,30.74748,29.865606,3.547168,39.884869,42.36842,65.855263,16.553444,4.7026796,1.4287703,3.8369763,0,152,18,0.00015979666,1,1,2375,2375,2375
5,0.95397538,0.6964097,-0.29989007,0.2413753,0.37544781,0.84311503,0.14045304,1.5973141,6.1501603,8.6030483,8.2070971,5.9912462,20.113636,43.320705,63.851009,14.348909,4.7569361,1.5781538,5.5317497,0,99,14,0.5070343,1,0,1546.875,1546.875,1546.875
6,0.76713461,0.56952298,-0.78649062,-0.61677426,0.031855714,0.0026939595,5.1859393,1.2398928,1.8234173,11.653127,8.939517,6.636724,60.875,33.21875,60.578125,16.838903,5.4617944,3.0776429,4.1317167,0,160,15,0.47940817,1,1,2500,2500,2500
7,0.70008647,0.11852017,0.35058922,-0.81079602,-0.17590457,0.43445903,1.5935699,1.5624429,1.8531753,25.975323,18.184971,3.0785997,8.4533901,12.690678,18.707626,12.075111,2.363627,2.1659136,4.6889739,0,59,11,7.9392303e-05,1,1,921.875,921.875,921.875
8,0.21941955,0.18042806,-0.69376498,-0.54096001,-0.43825608,0.18434758,3.0973701,2.2059426,0.033818401,31.213043,6.848752,5.6317091,12.517361,60.138889,59.201389,16.257782,1.8348932,2.1506424,0.51035744,0,144,14,0.017681986,1,1,2250,2250,2250
9,0.86865246,0.54884124,-0.29989007,0.2413753,0.37544781,0.84311503,0.18411127,1.4646697,6.0790162,8.9958563,7.8142724,4.9372969,33.5625,57,13.46875,13.365047,0.97545671,1.4461557,5.8037586,0,80,13,0.46990037,1,0,1250,1250,1250
10,0.88131261,0.77421963,-0.51545578,0.19731443,-0.40548858,0.7286641,0.90678799,1.5198033,6.1348958,8.8036604,7.7587767,6.8159666,54.824768,59.918224,25.151869,14.725445,1.5687703,1.933918,2.8940165,0,107,13,0.46307975,1,0,1671.875,1671.875,1671.875
