Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3,featids,featids_conv,orientations_0,orientations_1,orientations_2,orientations_3,orientations_4,phases_conv,rvec_0,rvec_1,rvec_2,rvec_3,rvec_comp1,rvec_comp2,rvec_comp3,E11_shape,E11_loc,E11_scale,E12_shape,E12_loc,E12_scale,E13_shape,E13_loc,E13_scale,E22_shape,E22_loc,E22_scale,E23_shape,E23_loc,E23_scale,E33_shape,E33_loc,E33_scale,S11_shape,S11_loc,S11_scale,S12_shape,S12_loc,S12_scale,S13_shape,S13_loc,S13_scale,S22_shape,S22_loc,S22_scale,S23_shape,S23_loc,S23_scale,S33_shape,S33_loc,S33_scale
1,0.6771878,0.57155395,-0.40916464,-0.40369147,0.073721908,0.81497395,5.9409523,1.1368639,0.21785097,8.4599152,5.7289519,4.8352981,50.710785,42.475491,65.612747,11.502631,5.6900339,2.111707,3.2897916,0,51,11,0.35252148,1,0,796.875,796.875,796.875,1,1,1,-2.9013078064051,-7.465282212601664,4.420462154285758,1,1,0.31714723,0.81604356,-0.48320875,9.1481419,-2.9013078064051,-7.465282212601664,4.420462154285758,0.36962855526944216,-0.047035574235294114,0.0025153743528284053,0.4496985324264477,-0.006043000342549013,0.002729476462534539,0.5535178661921042,0.001836239753529414,0.002890687045190409,0.6616810416233463,0.018242155607843136,0.002565461789431969,0.41759158417139175,-8.2547872254902e-05,0.0016849730571250451,0.4982498724627935,-0.0467069251372549,0.0019092905572418964,0.4527648948423204,-0.2087771725490201,40.041152653476885,0.4121934553857814,-23.453307289,32.989511012305634,0.6377647647237243,21.983102011764707,33.62362139973888,0.5122301076589794,1173.6429450980393,39.3779689620364,0.3419686027486283,-35.49178361568627,28.692795104939115,0.40856215453455974,-4.073607687843138,48.048802110688094
2,0.74788404,0.51818228,0.2393712,-0.61762059,0.38421139,0.643139,0.8509959,1.9563974,6.2023816,6.6072245,4.9414377,3.4237468,47.445652,53.423912,49.076088,8.8209715,5.4647012,1.7980559,0.69421792,0,23,8,0.26633358,1,0,359.375,359.375,359.375,2,2,2,0.9165108320068072,-0.8647557707165276,-0.0622130698852752,1,1,-0.72646004,0.68543708,0.049312357,1.2616122,0.9165108320068072,-0.8647557707165276,-0.0622130698852752,0.49467015959875515,-0.04446960834782609,0.0014439192703682208,0.46248411790425653,0.005504906626086952,0.0023638162235966507,0.4912642778260716,0.004531143426086956,0.004579375667379244,0.46995221587652886,0.016295489847826087,0.0018028549607044296,0.538830643941834,0.010648802882608692,0.0028650188025233034,0.5217280339409253,-0.04632036504347825,0.0024025209869811,0.4138899952964288,139.55190652173914,52.23784817082473,0.5167834365431374,35.104330214782614,28.67645685839493,0.578031013980536,79.68742619130435,30.857487211259375,0.44503261889305196,1263.9085956521737,48.09986249337252,0.5347996822850132,179.2492388695652,33.67660367060545,0.42732562112645905,55.35200719565217,57.45006037400997
3,0.4317106,0.32716578,-0.52235138,0.20969498,-0.82190359,0.087472662,1.9123399,1.555136,1.5941683,16.642029,7.1845403,5.4447026,36.950001,14.775,7.0999999,14.39706,1.0830177,1.1957086,1.8465194,0,100,11,0.061767478,1,1,1562.5,1562.5,1562.5,3,3,3,5.971597905437307,-2.397263823184517,9.39612348993046,1,1,-0.52436131,0.21050185,-0.82506621,11.388327,5.971597905437307,-2.397263823184517,9.39612348993046,0.6536514925371427,-0.03175568241,0.0023013498615960834,0.3138499892292115,0.003208618744029999,0.002257132579774786,0.2718552117747658,0.002354020522924498,0.0028246642834953133,0.4881515746365464,-0.008290127825699998,0.004836213637128652,0.5771920787003726,0.0054691636645269985,0.002239529953200809,0.6141349602693467,-0.036100029449999994,0.003280461450182152,0.4227499469581306,-109.268016762,146.96781555595382,0.47003230048553896,-45.62800439909999,61.44724432907878,0.4188940233977522,-190.009855503,75.99985237719059,0.6605435313103344,1076.7907328,131.56722763294405,0.2763377591352443,32.5472378956,57.82488158871632,0.5146098978689336,33.240817319,94.82361786890874
4,0.79689544,0.66867,-0.31614989,-0.36256677,0.078426845,0.87318027,0.74444401,1.858407,0.67703861,5.7251682,4.5623603,3.8282483,38.75,61.964287,49.107143,8.5574999,6.1362443,2.1517284,5.4448142,0,21,7,0.29502839,1,0,328.125,328.125,328.125,4,4,4,1.978393636730516,0.7125781465714454,-0.5368047353130692,1,1,-0.91159874,-0.32833979,0.2473474,2.1702461,1.978393636730516,0.7125781465714454,-0.5368047353130692,0.5645421461242898,-0.05181622885714284,0.0009828799387891158,0.5263513659933645,-0.004075308851904761,0.003057121454977299,0.3408717907564426,0.008480091266666658,0.002309202537152014,0.44711639268679454,0.02514308652380952,0.0012549364808088273,0.46800874304508105,0.0028674976985714287,0.0013378105888532733,0.40024060948567725,-0.04776161228571428,0.0006503534467366517,0.4086070869103218,66.23282898333333,47.54534232437705,0.5930613796568538,56.47679457619049,20.08703967380678,0.39073849253792015,25.237979242857147,39.196125834573714,0.4846013513702056,1335.2131380952383,57.083801336048026,0.558813390090427,15.358546176190476,23.124810601737167,0.49953019645505825,84.04226885714284,64.35065874525029
5,0.58089864,0.4103775,0.052344248,0.21622808,0.95686358,0.18686226,1.9425008,2.5246627,4.6719637,12.797464,7.4340301,5.2517915,22.702991,65.245728,43.087608,15.170589,3.0969419,0.44870186,0.43036866,0,117,19,0.50852054,1,1,1828.125,1828.125,1828.125,5,5,5,-0.2801221672579146,-1.157152575210922,-5.120690806410693,1,1,0.053282768,0.22010501,0.97401994,5.2572751,-0.2801221672579146,-1.157152575210922,-5.120690806410693,0.6557499174031783,-0.047562522931623934,0.0015993835228100895,0.5045236472770477,-0.0022801069302564093,0.0035956343452236764,0.4569517688191448,0.010940370925128203,0.005747658573290619,0.36422318590348446,0.024209803376068376,0.003653753025466843,0.34504628433207696,0.012012918172649573,0.007398964503614259,0.6210693525521584,-0.05120521297435897,0.002878517899942391,0.5979926292271308,188.1382242320513,75.43657636968706,0.485029018911705,-18.33364911111111,44.25564896731988,0.4467078157527893,14.493940743897436,41.64931631645016,0.7163528720763287,1322.0622205128207,65.73501269723262,0.22868542027616823,47.88905321880341,32.75202467934078,0.5378357124433194,-59.78352757863248,85.80573594109731
6,0.27735019,0.27734992,0.33259875,0.66612661,0.3766298,0.5511837,5.9504991,0.66634178,4.0969095,4.1502061,1.1510603,1.1510593,68.75,18.75,43.75,3.1017525,0.49910691,0.71092749,2.5826719,0,1,1,0.14365785,1,0,15.625,15.625,15.625,6,6,6,6.265522466044729,-10.71775079860322,33.42710948676086,1,1,-0.17571117,0.30057007,-0.93743443,35.658077,6.265522466044729,-10.71775079860322,33.42710948676086,,-0.046451073,,,0.0007150756,,,0.011650822,,,0.0075340634,,,0.0068179546,,,-0.036069572,,,193.18906,,,-87.51962,,,-115.71078,,,1247.637,,,-112.36995,,,-122.69725,
7,0.93341285,0.72526979,0.6323427,0.28533104,-0.63780487,0.33456522,5.1564755,1.3348484,4.1959591,8.9225025,8.3283787,6.4712219,29.583334,20.191441,16.542793,14.906699,3.5581501,0.80425704,5.8516865,0,111,17,0.47326517,1,0,1734.375,1734.375,1734.375,7,7,7,-23.42347927649598,51.8892782142525,133.8560294272183,1,1,0.16103044,-0.35672554,-0.92022604,145.45995,-23.42347927649598,51.8892782142525,133.8560294272183,0.4844749869809955,-0.04361013452252252,0.005282392377399643,0.5906348476387046,-0.012117697007567568,0.010712577341128494,0.37470269525674116,-0.00033337345735135214,0.00824633008367146,0.40850785663637446,0.008685427073693694,0.011900730106624383,0.5872014649767462,0.01264459146936937,0.005077274696683189,0.6282467285670761,-0.04152448167567568,0.008067487755555186,0.5313469974866359,104.77429215135136,88.45502289431788,0.6766913633017246,-142.23550707621624,59.58009814786755,0.5666830584386356,119.18086911711713,27.63669725658197,0.6297549745477539,1074.1126795495497,117.22607226759476,0.4339108587275301,148.77103805405406,64.22732031211434,0.44023523635567313,-276.473394954955,96.18736179397283
8,0.57529557,0.37075001,0.28604919,0.88040358,-0.20616882,0.31711191,3.0864496,2.5412283,0.21867895,9.8754292,5.6812906,3.6613154,57.36702,5.5585108,54.228722,11.193686,4.9747186,2.365804,2.4614213,0,47,14,0.45284119,1,1,734.375,734.375,734.375,8,8,8,-0.9020447350109748,-2.77631779428657,0.6501451616518352,1,1,0.30161613,0.92831564,-0.21738863,2.9907045,-0.9020447350109748,-2.77631779428657,0.6501451616518352,0.5442334115708987,-0.052622066446808516,0.0030823264183108107,0.5542504925577981,0.0006526999425531897,0.0036845447138508305,0.4791712178734283,-0.028954613893617028,0.006237573526190825,0.5613657066149862,0.029156396468085106,0.003998195602127931,0.4901516840586856,-0.00036595635148936167,0.00486043845716858,0.3975701219341162,-0.051832704957446796,0.003806872353894638,0.5460339640235753,21.699076942553194,83.43264012833659,0.49860512374288446,-36.37704725170213,42.35748384937366,0.5056187275745053,54.55722259148936,36.74658401459016,0.5703038758120834,1207.8338085106382,84.42011459210987,0.4637658363476677,-0.5691191489361704,23.550471187950286,0.5503879999202066,1.335464976595749,89.20067087963993
9,0.13044441,0.10482209,-0.15399137,-0.29098696,0.22392532,0.91731709,4.6905403,1.1398479,3.14149,39.505981,5.1533341,4.1410999,7.875,50.8125,14.0,13.365047,0.84463316,0.67095786,4.9596992,0,80,10,0.0055562076,1,1,1250.0,1250.0,1250.0,9,9,9,0.1678714709468689,0.317215229204777,-0.2441089543972801,1,1,-0.38676006,-0.73083401,0.56240404,0.43404552,0.1678714709468689,0.317215229204777,-0.2441089543972801,0.46823176877985456,-0.0508586886625,0.004292290366506135,0.5657501743035571,-0.0032623446931249996,0.005341395454522678,0.4143761536971619,0.003917105308824997,0.004184572180714482,0.6024571669696213,0.021322787066249998,0.004573536599588829,0.6778479262094708,-0.0074959750699999965,0.0030556445978423565,0.5358337725392595,-0.046609272775,0.00351418580008231,0.5224734056357807,-128.242437075,103.69375908025692,0.4715999086178797,24.916568058125,32.83048320145885,0.375376263931196,-46.013296750500004,44.74060953000368,0.5441845611734948,1167.1363487499998,91.55643025002013,0.3562960021326578,-10.2909304343125,21.702982012619437,0.422128212861104,-39.169643371625,87.95563628938493
10,0.19391178,0.13363647,0.49110189,-0.72189015,-0.0059602382,0.48750171,3.8723671,1.5819726,1.5701109,39.274807,7.6158476,5.2485466,13.77924,60.182747,53.413742,17.216276,2.1804035,2.1230569,4.1272326,0,171,17,0.011073428,1,1,2671.875,2671.875,2671.875,10,10,10,-1.007384885884861,1.480795110420715,0.0122260857582519,1,1,0.5624665,-0.82679188,-0.0068263519,1.7910131,-1.007384885884861,1.480795110420715,0.0122260857582519,0.6699470856045852,-0.044076784333333334,0.005445910589980315,0.4947818359552904,0.002033524467076022,0.0060848858649522695,0.6090462976247373,0.0003972847650760228,0.004344043442958246,0.5468735715807523,0.019450520131982455,0.005648267823562833,0.42789305278083367,-0.003425810221298241,0.0051937610815328385,0.3607153020284465,-0.05066257298830408,0.004956464220838628,0.5101209599134133,-45.04456480631579,104.909338513368,0.5901249570726979,14.372071749707603,43.8097044348702,0.5259840839799904,16.479529140701754,35.37102900225808,0.5689725096228715,1219.5316708187136,86.82568594638444,0.4314506698318592,24.27511144397661,38.65787660326074,0.5128621338814917,56.022670935730986,65.96761923604501
