Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3,featids,featids_conv,orientations_0,orientations_1,orientations_2,orientations_3,orientations_4,phases_conv,rvec_0,rvec_1,rvec_2,rvec_3,rvec_comp1,rvec_comp2,rvec_comp3,E11_shape,E11_loc,E11_scale,E12_shape,E12_loc,E12_scale,E13_shape,E13_loc,E13_scale,E22_shape,E22_loc,E22_scale,E23_shape,E23_loc,E23_scale,E33_shape,E33_loc,E33_scale,S11_shape,S11_loc,S11_scale,S12_shape,S12_loc,S12_scale,S13_shape,S13_loc,S13_scale,S22_shape,S22_loc,S22_scale,S23_shape,S23_loc,S23_scale,S33_shape,S33_loc,S33_scale
1,0.6771878,0.57155395,-0.40916464,-0.40369147,0.073721908,0.81497395,5.9409523,1.1368639,0.21785097,8.4599152,5.7289519,4.8352981,50.710785,42.475491,65.612747,11.502631,5.6900339,2.111707,3.2897916,0,51,11,0.35252148,1,0,796.875,796.875,796.875,1,1,1,-2.9013078064051,-7.465282212601664,4.420462154285758,1,1,0.31714723,0.81604356,-0.48320875,9.1481419,-2.9013078064051,-7.465282212601664,4.420462154285758,-0.8404913536290164,-0.04916340378969537,0.002635670875049753,0.1775435862654088,-0.007428164483211755,0.0031809903254143273,0.4022875814048036,0.0007502309228625835,0.003862415108381761,1.5129620835148334,-0.3640347714109569,0.5885680637551394,0.22993468193649913,-0.0002863427151312912,0.0020512723359801506,0.2954940016195465,-0.04754820140792214,0.0024234268352759554,0.1997501453127561,-19.949447751044424,48.16792226491181,0.09020166735091185,-41.559880290019905,36.00168136337872,0.5608889555731218,12.904412140391507,46.576665506654024,7.021828879836935,1301.0049117514372,4.598513216823169,0.3129361963960858,-90.04209671774956,62.26289977112624,-5.437770277548188,-161.02152102318362,0.7403786063442886
2,0.74788404,0.51818228,0.2393712,-0.61762059,0.38421139,0.643139,0.8509959,1.9563974,6.2023816,6.6072245,4.9414377,3.4237468,47.445652,53.423912,49.076088,8.8209715,5.4647012,1.7980559,0.69421792,0,23,8,0.26633358,1,0,359.375,359.375,359.375,2,2,2,0.9165108320068072,-0.8647557707165276,-0.0622130698852752,1,1,-0.72646004,0.68543708,0.049312357,1.2616122,0.9165108320068072,-0.8647557707165276,-0.0622130698852752,-0.8432688442688356,-0.04575486526066053,0.002513742044498846,-0.8348098870836748,0.0035592960863276768,0.003249526548463452,0.3106423284001719,0.002581336472776675,0.005726579413465641,-0.7275442446894629,0.014838333232241022,0.002714654134093991,1.0568799511108136,0.011316421130303393,0.004422506619548497,0.6294495705439025,-0.04686179596191982,0.0034237493893447676,0.08511893216810384,111.05596203619177,56.08363562928457,0.3710583563787425,23.953963515431973,37.11113073977693,0.5668656344517087,71.54367927985373,42.564798747857246,-6.693631030430073,1168.460445444627,0.3818415710058083,0.4938735845286987,168.75005393138292,45.526892316209306,-5.706932479251158,-56.11565922577273,0.6915859597939269
3,0.4317106,0.32716578,-0.52235138,0.20969498,-0.82190359,0.087472662,1.9123399,1.555136,1.5941683,16.642029,7.1845403,5.4447026,36.950001,14.775,7.0999999,14.39706,1.0830177,1.1957086,1.8465194,0,100,11,0.061767478,1,1,1562.5,1562.5,1562.5,3,3,3,5.971597905437307,-2.397263823184517,9.39612348993046,1,1,-0.52436131,0.21050185,-0.82506621,11.388327,5.971597905437307,-2.397263823184517,9.39612348993046,1.0704323736950643,-0.0316144802091361,0.006873025986293078,-0.826209225344248,0.0021912692976171896,0.004376637943490469,-0.6543756061858963,0.0033948641734661807,0.008339054061395894,0.24614194170301704,-0.01056655538303761,0.006155522730386305,0.9732216138307471,0.005536564839711154,0.006335526886595612,1.0422005478461907,-0.036156353525565704,0.008869082395292391,-5.199352742638371,-521.9382731017881,0.4779963901505867,0.22184656002318454,-75.47952872657311,75.7090573561886,-0.000941677087746341,-235.8870983402257,78.04305056496342,0.5359205397469418,1038.6810254566694,181.0428068010575,-0.11337570386169495,-2.5039227451691963,49.90453289980016,6.6833122577255875,306.51724672967055,8.056153285218052
4,0.79689544,0.66867,-0.31614989,-0.36256677,0.078426845,0.87318027,0.74444401,1.858407,0.67703861,5.7251682,4.5623603,3.8282483,38.75,61.964287,49.107143,8.5574999,6.1362443,2.1517284,5.4448142,0,21,7,0.29502839,1,0,328.125,328.125,328.125,4,4,4,1.978393636730516,0.7125781465714454,-0.5368047353130692,1,1,-0.91159874,-0.32833979,0.2473474,2.1702461,1.978393636730516,0.7125781465714454,-0.5368047353130692,0.40429819436741343,-0.052175559422068765,0.001307360897495519,0.4790830782339549,-0.005052143711750821,0.004112106678181874,-0.8073480660377385,0.006531913407622211,0.0016521133658493718,-0.7219586447466984,0.024092799190282645,0.0015780726949064616,-0.8280503788730741,0.0018179732713873545,0.0022094269625619646,-0.8553482261021272,-0.04831575190710562,0.0009144199219403124,0.1240163827029791,19.25613431737807,58.05860543954094,0.7326479378540505,53.333524981489134,29.170570508174677,-0.026154247195106173,1.9237171602747427,38.230105252349304,-6.118789508651027,1194.9699157824225,4.384235186799916,0.5617454848571715,9.185818594968342,31.888212981537162,0.37729488843873615,59.350592861824566,82.56632809219562
5,0.58089864,0.4103775,0.052344248,0.21622808,0.95686358,0.18686226,1.9425008,2.5246627,4.6719637,12.797464,7.4340301,5.2517915,22.702991,65.245728,43.087608,15.170589,3.0969419,0.44870186,0.43036866,0,117,19,0.50852054,1,1,1828.125,1828.125,1828.125,5,5,5,-0.2801221672579146,-1.157152575210922,-5.120690806410693,1,1,0.053282768,0.22010501,0.97401994,5.2572751,-0.2801221672579146,-1.157152575210922,-5.120690806410693,0.5167047784677545,-0.04804634477318122,0.002203794844466276,1.0591043061773842,-0.002326353922867076,0.01001286311187951,0.19669749358397887,0.008064272124165535,0.006805065854202021,-0.734259836543637,0.021563274648004473,0.004711443775394607,0.04619576685288026,0.007887563868708302,0.00775226026995704,1.0010187303096902,-0.05116154721829757,0.00738509998695304,7.042443527542883,377.9933565214292,3.3365229676825474,0.6830736429328006,-25.0751489868314,82.16188692393288,0.1922195848358224,-6.312379689631,49.61716276514626,0.5149689343194486,1302.1223775239848,90.49446884618322,-0.012493202686647047,29.80798961004445,31.03769323415546,8.68230937811473,185.81224840198772,1.4427532237983614
6,0.27735019,0.27734992,0.33259875,0.66612661,0.3766298,0.5511837,5.9504991,0.66634178,4.0969095,4.1502061,1.1510603,1.1510593,68.75,18.75,43.75,3.1017525,0.49910691,0.71092749,2.5826719,0,1,1,0.14365785,1,0,15.625,15.625,15.625,6,6,6,6.265522466044729,-10.71775079860322,33.42710948676086,1,1,-0.17571117,0.30057007,-0.93743443,35.658077,6.265522466044729,-10.71775079860322,33.42710948676086,,-0.046451073,,,0.0007150756,,,0.011650822,,,0.0075340634,,,0.0068179546,,,-0.036069572,,,193.18906,,,-87.51962,,,-115.71078,,,1247.637,,,-112.36995,,,-122.69725,
7,0.93341285,0.72526979,0.6323427,0.28533104,-0.63780487,0.33456522,5.1564755,1.3348484,4.1959591,8.9225025,8.3283787,6.4712219,29.583334,20.191441,16.542793,14.906699,3.5581501,0.80425704,5.8516865,0,111,17,0.47326517,1,0,1734.375,1734.375,1734.375,7,7,7,-23.42347927649598,51.8892782142525,133.8560294272183,1,1,0.16103044,-0.35672554,-0.92022604,145.45995,-23.42347927649598,51.8892782142525,133.8560294272183,-0.8015602621567643,-0.04817129772986835,0.00958742146575541,1.328739664673482,-0.015200340319984594,0.045544217342659656,0.17873541741890564,-0.001140911170528943,0.009937905130528805,-0.0490965481375341,0.001251597855313312,0.011754888027245985,0.347142230378397,0.010553959441676197,0.006911291023831478,0.980277211103264,-0.0416151688158024,0.011736066975790677,8.69983598956371,370.90702743592294,1.3114355841167522,6.720545178279429,41.89823777257776,5.768594923267974,5.403284098602567,191.07206866420466,3.792356195126934,5.857033958439036,1450.2118246088344,12.536251349864553,-3.6428369335172723,-86.69489791835514,7.08987656947842,-5.26634612784213,-621.0184245605492,2.217406433996824
8,0.57529557,0.37075001,0.28604919,0.88040358,-0.20616882,0.31711191,3.0864496,2.5412283,0.21867895,9.8754292,5.6812906,3.6613154,57.36702,5.5585108,54.228722,11.193686,4.9747186,2.365804,2.4614213,0,47,14,0.45284119,1,1,734.375,734.375,734.375,8,8,8,-0.9020447350109748,-2.77631779428657,0.6501451616518352,1,1,0.30161613,0.92831564,-0.21738863,2.9907045,-0.9020447350109748,-2.77631779428657,0.6501451616518352,0.9996011098746966,-0.052648503384152875,0.009949865765721589,0.4588669904746475,-0.0005913904770853542,0.004996017600857728,0.27315490181435437,-0.03177941915281425,0.007724112944429526,1.4943019007321972,0.02936777404048145,0.014587877179894852,0.4343410372424651,-0.0014763713974298895,0.006390581089494116,0.030455248696683333,-0.05402828190816311,0.003948459539271654,6.035942418687315,247.46842168955487,4.119943018667524,1.415286308809992,-92.37865971238213,245.0513326821019,6.443350554095883,160.6293275031371,4.867387530232538,0.45645409325344516,1179.060824770485,114.30565869324246,0.20481181776678892,-12.161975672407017,28.578030783916933,0.47371067779224696,-28.030311783255357,121.078465396508
9,0.13044441,0.10482209,-0.15399137,-0.29098696,0.22392532,0.91731709,4.6905403,1.1398479,3.14149,39.505981,5.1533341,4.1410999,7.875,50.8125,14.0,13.365047,0.84463316,0.67095786,4.9596992,0,80,10,0.0055562076,1,1,1250.0,1250.0,1250.0,9,9,9,0.1678714709468689,0.317215229204777,-0.2441089543972801,1,1,-0.38676006,-0.73083401,0.56240404,0.43404552,0.1678714709468689,0.317215229204777,-0.2441089543972801,0.2521065065397634,-0.05284614680492076,0.005365427727186794,1.0629828434281234,-0.0038954275694953774,0.015511933847341258,-0.7801907108956543,0.00256476717443244,0.009241934741971332,0.30084813107552505,0.019285955584388698,0.006275527578402438,0.5747154845728071,-0.008298682997605833,0.00420565446607547,1.012046211812104,-0.046423521457633246,0.010568273801115868,6.274603194691402,198.8172790086062,14.580740886330837,-0.17576078791649563,0.5017646006837166,41.19024087060142,-0.03230694753856057,-72.98722035261969,43.84867511415396,7.325386131133694,1503.7212147987148,1.217012191590908,0.037810798581025803,-22.539074903642703,22.559040077621795,0.15392575032122535,-84.83055672547908,110.44774622688132
10,0.19391178,0.13363647,0.49110189,-0.72189015,-0.0059602382,0.48750171,3.8723671,1.5819726,1.5701109,39.274807,7.6158476,5.2485466,13.77924,60.182747,53.413742,17.216276,2.1804035,2.1230569,4.1272326,0,171,17,0.011073428,1,1,2671.875,2671.875,2671.875,10,10,10,-1.007384885884861,1.480795110420715,0.0122260857582519,1,1,0.5624665,-0.82679188,-0.0068263519,1.7910131,-1.007384885884861,1.480795110420715,0.0122260857582519,0.553557595530956,-0.04559473441992401,0.007508733131858184,0.2697206118732337,-0.0007590562561587606,0.007738061003746451,0.5350829906147216,-0.0008634356067409867,0.006036595668346451,0.3180725927064602,0.01701251146984524,0.007511521832855483,0.13133016150900428,-0.006196368424633796,0.005928826290171753,0.01084916667557484,-0.05353908866939337,0.005041474641232814,8.060292116695315,286.4222868164569,2.186379896940811,5.588827173823972,124.42530251698757,6.639624392037836,6.148270684201401,122.57936977151195,5.006599705658449,6.354786498220879,1478.6872563986853,9.53754065357603,0.148923659773732,4.048852075127978,44.52120360515899,8.085040871232241,308.1632446079434,4.3417913932585535
